s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,0
6,2,0
7,3,0
8,3,7.867813110351562e-06
9,4,1.1205673217773438e-05
10,5,2.9325485229492188e-05
11,6,2.09808349609375e-05
12,7,1.5735626220703125e-05
13,9,5.650520324707031e-05
14,11,6.461143493652344e-05
15,13,0.00014209747314453125
16,16,0.0002608299255371094
17,20,0.00021910667419433594
18,24,0.00033402442932128906
19,29,0.0004487037658691406
20,35,0.0007565021514892578
21,42,0.0012807846069335938
22,51,0.0014791488647460938
23,62,0.0019159317016601562
24,75,0.003480195999145508
25,91,0.004427433013916016
26,109,0.007193326950073242
27,132,0.008977413177490234
28,159,0.014592885971069336
29,193,0.02120661735534668
30,232,0.029247283935546875
31,281,0.0421910285949707
32,339,0.05589747428894043
33,409,0.07532358169555664
34,494,0.11753368377685547
35,596,0.17139267921447754
36,719,0.24487876892089844
37,868,0.35314440727233887
38,1048,0.516819953918457
39,1264,0.7324233055114746
40,1526,1.083052396774292
41,1842,1.7704994678497314
42,2222,3.845364570617676
43,2682,4.35767936706543
44,3237,8.473851919174194
45,3906,10.08096170425415
46,4714,18.115834951400757
47,5689,21.406189918518066
48,6866,36.057544231414795
49,8286,40.01383829116821
50,10000,62.866310834884644
