s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,0
6,2,0
7,3,8.106231689453125e-06
8,3,5.0067901611328125e-06
9,4,1.0251998901367188e-05
10,5,1.3589859008789062e-05
11,6,1.8596649169921875e-05
12,7,3.3855438232421875e-05
13,9,4.482269287109375e-05
14,11,6.318092346191406e-05
15,13,5.793571472167969e-05
16,16,0.000133514404296875
17,20,0.00023508071899414062
18,24,0.0003464221954345703
19,29,0.0005552768707275391
20,35,0.000637054443359375
21,42,0.0008940696716308594
22,51,0.0015854835510253906
23,62,0.002071857452392578
24,75,0.002762317657470703
25,91,0.0037729740142822266
26,109,0.005614757537841797
27,132,0.007285594940185547
28,159,0.009981870651245117
29,193,0.013191699981689453
30,232,0.019748687744140625
31,281,0.03248333930969238
32,339,0.04296445846557617
33,409,0.061914682388305664
34,494,0.10485410690307617
35,596,0.16321897506713867
36,719,0.23598289489746094
37,868,0.3415367603302002
38,1048,0.4804387092590332
39,1264,0.7084925174713135
40,1526,1.0589268207550049
41,1842,1.3928823471069336
42,2222,2.0382673740386963
43,2682,3.1008987426757812
44,3237,4.467183589935303
45,3906,6.832669258117676
46,4714,15.227503776550293
47,5689,28.114747047424316
48,6866,39.17507553100586
49,8286,56.8679838180542
50,10000,68.28351616859436
