s_no,input_size,sort_time(s)
1,1,4.601478576660156e-05
2,1,3.2901763916015625e-05
3,1,3.0040740966796875e-05
4,1,2.9087066650390625e-05
5,2,5.0067901611328125e-05
6,2,0.0002818107604980469
7,3,7.581710815429688e-05
8,3,7.915496826171875e-05
9,4,7.700920104980469e-05
10,5,9.894371032714844e-05
11,6,0.00011682510375976562
12,7,0.00013017654418945312
13,9,0.0001850128173828125
14,11,0.0002288818359375
15,13,0.0002799034118652344
16,16,0.0005393028259277344
17,20,0.0005879402160644531
18,24,0.0007250308990478516
19,29,0.0007197856903076172
20,35,0.0008959770202636719
21,42,0.0010781288146972656
22,51,0.00150299072265625
23,62,0.0019278526306152344
24,75,0.0020780563354492188
25,91,0.002524852752685547
26,109,0.003087759017944336
27,132,0.004097938537597656
28,159,0.004355192184448242
29,193,0.005257368087768555
30,232,0.006356954574584961
31,281,0.007463932037353516
32,339,0.009720087051391602
33,409,0.011476993560791016
34,494,0.016112089157104492
35,596,0.017259597778320312
36,719,0.02201700210571289
37,868,0.026920318603515625
38,1048,0.03326702117919922
39,1264,0.04702019691467285
40,1526,0.06063413619995117
41,1842,0.06555485725402832
42,2222,0.0780789852142334
43,2682,0.09667301177978516
44,3237,0.12660980224609375
45,3906,0.1527848243713379
46,4714,0.1872572898864746
47,5689,0.23054790496826172
48,6866,0.2860598564147949
49,8286,0.3656802177429199
50,10000,0.44450879096984863
