s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,9.5367431640625e-07
6,2,2.1457672119140625e-06
7,3,8.821487426757812e-06
8,3,6.9141387939453125e-06
9,4,1.0251998901367188e-05
10,5,1.2874603271484375e-05
11,6,1.6689300537109375e-05
12,7,3.838539123535156e-05
13,9,3.9577484130859375e-05
14,11,5.412101745605469e-05
15,13,5.602836608886719e-05
16,16,0.00011205673217773438
17,20,0.00022649765014648438
18,24,0.0002682209014892578
19,29,0.004844188690185547
20,35,0.00027108192443847656
21,42,0.00037932395935058594
22,51,0.0009341239929199219
23,62,0.001986265182495117
24,75,0.002290964126586914
25,91,0.0033407211303710938
26,109,0.006258487701416016
27,132,0.012868404388427734
28,159,0.01625370979309082
29,193,0.018935680389404297
30,232,0.052582740783691406
31,281,0.05506086349487305
32,339,0.0777137279510498
33,409,0.10502409934997559
34,494,0.1326279640197754
35,596,0.28526854515075684
36,719,0.391603946685791
37,868,1.2591416835784912
38,1048,1.0728206634521484
39,1264,0.9274766445159912
40,1526,1.5519156455993652
41,1842,2.323683977127075
42,2222,6.24577522277832
43,2682,6.854325532913208
44,3237,9.360443115234375
45,3906,10.043475866317749
46,4714,17.106133460998535
47,5689,20.270241260528564
48,6866,28.063620805740356
49,8286,38.964762449264526
50,10000,87.52916383743286
