s_no,input_size,sort_time(s)
1,1,4.0531158447265625e-06
2,1,3.0994415283203125e-06
3,1,3.0994415283203125e-06
4,1,2.86102294921875e-06
5,2,2.47955322265625e-05
6,2,3.0994415283203125e-05
7,3,3.695487976074219e-05
8,3,3.409385681152344e-05
9,4,5.0067901611328125e-05
10,5,6.604194641113281e-05
11,6,7.796287536621094e-05
12,7,9.584426879882812e-05
13,9,0.0001361370086669922
14,11,0.00014734268188476562
15,13,0.0001747608184814453
16,16,0.0003209114074707031
17,20,0.00035309791564941406
18,24,0.0003960132598876953
19,29,0.0004978179931640625
20,35,0.0006089210510253906
21,42,0.0007722377777099609
22,51,0.000926971435546875
23,62,0.001194000244140625
24,75,0.0014710426330566406
25,91,0.0017023086547851562
26,109,0.0023560523986816406
27,132,0.0025937557220458984
28,159,0.0032210350036621094
29,193,0.00403594970703125
30,232,0.004853963851928711
31,281,0.0059621334075927734
32,339,0.006948947906494141
33,409,0.007925033569335938
34,494,0.009268045425415039
35,596,0.011049032211303711
36,719,0.01306009292602539
37,868,0.016685962677001953
38,1048,0.02026200294494629
39,1264,0.034677982330322266
40,1526,0.034102678298950195
41,1842,0.040125131607055664
42,2222,0.04935288429260254
43,2682,0.05959820747375488
44,3237,0.07735490798950195
45,3906,0.09307503700256348
46,4714,0.11758995056152344
47,5689,0.1410539150238037
48,6866,0.18042802810668945
49,8286,0.20854425430297852
50,10000,0.2694990634918213
