s_no,input_size,sort_time(s)
1,1,2.1457672119140625e-06
2,1,2.1457672119140625e-06
3,1,2.1457672119140625e-06
4,1,9.5367431640625e-07
5,2,3.814697265625e-05
6,2,2.5987625122070312e-05
7,3,2.8133392333984375e-05
8,3,2.6702880859375e-05
9,4,4.506111145019531e-05
10,5,6.389617919921875e-05
11,6,8.320808410644531e-05
12,7,9.489059448242188e-05
13,9,0.0001010894775390625
14,11,0.00015616416931152344
15,13,0.000186920166015625
16,16,0.00026488304138183594
17,20,0.000247955322265625
18,24,0.00031304359436035156
19,29,0.0003609657287597656
20,35,0.0004820823669433594
21,42,0.0006477832794189453
22,51,0.0007569789886474609
23,62,0.0008609294891357422
24,75,0.000990152359008789
25,91,0.0013709068298339844
26,109,0.0016171932220458984
27,132,0.0018508434295654297
28,159,0.0021991729736328125
29,193,0.0026848316192626953
30,232,0.0033521652221679688
31,281,0.004109859466552734
32,339,0.004878044128417969
33,409,0.006225109100341797
34,494,0.006983280181884766
35,596,0.008173942565917969
36,719,0.00916600227355957
37,868,0.011289834976196289
38,1048,0.013537883758544922
39,1264,0.017355680465698242
40,1526,0.02126002311706543
41,1842,0.02597498893737793
42,2222,0.03295707702636719
43,2682,0.04100322723388672
44,3237,0.05828213691711426
45,3906,0.06696891784667969
46,4714,0.07348990440368652
47,5689,0.0955662727355957
48,6866,0.1153709888458252
49,8286,0.1349046230316162
50,10000,0.17809796333312988
