s_no,input_size,sort_time(s)
1,1,8.511543273925781e-05
2,1,6.198883056640625e-05
3,1,6.008148193359375e-05
4,1,5.91278076171875e-05
5,2,0.0001049041748046875
6,2,0.00010323524475097656
7,3,0.0001246929168701172
8,3,0.0001246929168701172
9,4,0.00014829635620117188
10,5,0.00016760826110839844
11,6,0.0001919269561767578
12,7,0.00021600723266601562
13,9,0.00026416778564453125
14,11,0.00030493736267089844
15,13,0.0003459453582763672
16,16,0.0004100799560546875
17,20,0.0005006790161132812
18,24,0.0005939006805419922
19,29,0.0013391971588134766
20,35,0.0008535385131835938
21,42,0.0012331008911132812
22,51,0.002081155776977539
23,62,0.002668142318725586
24,75,0.0029668807983398438
25,91,0.003762960433959961
26,109,0.0037963390350341797
27,132,0.0034151077270507812
28,159,0.0033271312713623047
29,193,0.004147052764892578
30,232,0.004580974578857422
31,281,0.005828380584716797
32,339,0.006283998489379883
33,409,0.007277250289916992
34,494,0.008402824401855469
35,596,0.009435892105102539
36,719,0.011524677276611328
37,868,0.013376712799072266
38,1048,0.016609907150268555
39,1264,0.020251750946044922
40,1526,0.0242002010345459
41,1842,0.029137849807739258
42,2222,0.035370826721191406
43,2682,0.05185198783874512
44,3237,0.06011199951171875
45,3906,0.06650447845458984
46,4714,0.07706284523010254
47,5689,0.09058713912963867
48,6866,0.10917448997497559
49,8286,0.1355140209197998
50,10000,0.16499686241149902
