s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,0
6,2,0
7,3,6.9141387939453125e-06
8,3,4.76837158203125e-06
9,4,9.5367431640625e-06
10,5,1.1920928955078125e-05
11,6,1.7404556274414062e-05
12,7,1.4066696166992188e-05
13,9,4.291534423828125e-05
14,11,8.249282836914062e-05
15,13,7.724761962890625e-05
16,16,0.00014066696166992188
17,20,0.0001895427703857422
18,24,0.0001952648162841797
19,29,0.00031375885009765625
20,35,0.00041866302490234375
21,42,0.0006556510925292969
22,51,0.0009069442749023438
23,62,0.0014233589172363281
24,75,0.00217437744140625
25,91,0.002978801727294922
26,109,0.004315853118896484
27,132,0.00812077522277832
28,159,0.01441645622253418
29,193,0.014121055603027344
30,232,0.0221254825592041
31,281,0.031006574630737305
32,339,0.04224443435668945
33,409,0.06275272369384766
34,494,0.08838343620300293
35,596,0.13845372200012207
36,719,0.20209050178527832
37,868,0.5126514434814453
38,1048,0.5589044094085693
39,1264,0.7556719779968262
40,1526,1.0111885070800781
41,1842,1.6408195495605469
42,2222,2.1417126655578613
43,2682,3.0573055744171143
44,3237,5.669832706451416
45,3906,7.581912517547607
46,4714,12.75810170173645
47,5689,18.1813485622406
48,6866,25.500701904296875
49,8286,36.96537399291992
50,10000,48.602341175079346
