s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,5.0067901611328125e-06
6,2,1.9073486328125e-06
7,3,5.9604644775390625e-06
8,3,4.0531158447265625e-06
9,4,5.4836273193359375e-06
10,5,1.0251998901367188e-05
11,6,2.6702880859375e-05
12,7,1.9073486328125e-05
13,9,3.886222839355469e-05
14,11,5.269050598144531e-05
15,13,0.000125885009765625
16,16,0.0001347064971923828
17,20,0.00015044212341308594
18,24,0.0001571178436279297
19,29,0.00021529197692871094
20,35,0.00034308433532714844
21,42,0.00045371055603027344
22,51,0.0006573200225830078
23,62,0.0009832382202148438
24,75,0.001110076904296875
25,91,0.0023653507232666016
26,109,0.0027234554290771484
27,132,0.0054950714111328125
28,159,0.005820035934448242
29,193,0.00850224494934082
30,232,0.01205134391784668
31,281,0.017927885055541992
32,339,0.022269010543823242
33,409,0.030930519104003906
34,494,0.039554595947265625
35,596,0.058141231536865234
36,719,0.08002948760986328
37,868,0.12217855453491211
38,1048,0.18477416038513184
39,1264,0.2734208106994629
40,1526,0.4034290313720703
41,1842,0.5818800926208496
42,2222,1.0467772483825684
43,2682,2.4673171043395996
44,3237,3.5631611347198486
45,3906,3.812844753265381
46,4714,6.049173355102539
47,5689,7.061964988708496
48,6866,13.80621862411499
49,8286,26.23306679725647
50,10000,24.06884527206421
