s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,5.245208740234375e-06
6,2,2.6226043701171875e-06
7,3,7.3909759521484375e-06
8,3,5.7220458984375e-06
9,4,8.106231689453125e-06
10,5,9.775161743164062e-06
11,6,2.574920654296875e-05
12,7,2.4557113647460938e-05
13,9,4.029273986816406e-05
14,11,5.435943603515625e-05
15,13,6.341934204101562e-05
16,16,9.846687316894531e-05
17,20,0.00015425682067871094
18,24,0.00021696090698242188
19,29,0.0002999305725097656
20,35,0.0004181861877441406
21,42,0.0006937980651855469
22,51,0.001104116439819336
23,62,0.0016031265258789062
24,75,0.002622365951538086
25,91,0.003392457962036133
26,109,0.005206584930419922
27,132,0.007296085357666016
28,159,0.00928807258605957
29,193,0.028618335723876953
30,232,0.05307936668395996
31,281,0.06979870796203613
32,339,0.05399799346923828
33,409,0.07375025749206543
34,494,0.17056775093078613
35,596,0.30995893478393555
36,719,0.4141697883605957
37,868,0.3819310665130615
38,1048,0.39873766899108887
39,1264,0.6312737464904785
40,1526,0.977426290512085
41,1842,1.0764446258544922
42,2222,1.5885429382324219
43,2682,2.494180917739868
44,3237,3.6929867267608643
45,3906,6.250053882598877
46,4714,10.983238697052002
47,5689,29.93706226348877
48,6866,66.7479019165039
49,8286,76.35696268081665
50,10000,
