s_no,input_size,sort_time(s)
1,1,5.507469177246094e-05
2,1,3.981590270996094e-05
3,1,3.695487976074219e-05
4,1,3.1948089599609375e-05
5,2,5.412101745605469e-05
6,2,5.1021575927734375e-05
7,3,7.510185241699219e-05
8,3,6.604194641113281e-05
9,4,8.702278137207031e-05
10,5,0.00010228157043457031
11,6,0.0001323223114013672
12,7,0.00014519691467285156
13,9,0.00019025802612304688
14,11,0.0002238750457763672
15,13,0.0002949237823486328
16,16,0.0007617473602294922
17,20,0.0006160736083984375
18,24,0.0007691383361816406
19,29,0.0015821456909179688
20,35,0.0008921623229980469
21,42,0.0011451244354248047
22,51,0.00140380859375
23,62,0.0016469955444335938
24,75,0.0020220279693603516
25,91,0.003148794174194336
26,109,0.0029299259185791016
27,132,0.003403186798095703
28,159,0.004800081253051758
29,193,0.011132240295410156
30,232,0.008687257766723633
31,281,0.009644031524658203
32,339,0.012220144271850586
33,409,0.026864290237426758
34,494,0.030766010284423828
35,596,0.05395817756652832
36,719,0.03525710105895996
37,868,0.039705753326416016
38,1048,0.05042099952697754
39,1264,0.04459500312805176
40,1526,0.04511713981628418
41,1842,0.05694127082824707
42,2222,0.06533503532409668
43,2682,0.07933187484741211
44,3237,0.10333490371704102
45,3906,0.13108086585998535
46,4714,0.14092731475830078
47,5689,0.1936640739440918
48,6866,0.2190852165222168
49,8286,0.27111196517944336
50,10000,0.34026598930358887
