s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,4.0531158447265625e-06
6,2,5.245208740234375e-06
7,3,6.67572021484375e-06
8,3,4.291534423828125e-06
9,4,4.0531158447265625e-06
10,5,3.0994415283203125e-06
11,6,8.106231689453125e-06
12,7,1.2874603271484375e-05
13,9,1.6689300537109375e-05
14,11,2.002716064453125e-05
15,13,2.384185791015625e-05
16,16,3.24249267578125e-05
17,20,5.602836608886719e-05
18,24,9.465217590332031e-05
19,29,0.00018787384033203125
20,35,0.0002834796905517578
21,42,0.00047588348388671875
22,51,0.0006456375122070312
23,62,0.0010499954223632812
24,75,0.0010840892791748047
25,91,0.0011034011840820312
26,109,0.001744985580444336
27,132,0.003180980682373047
28,159,0.004815340042114258
29,193,0.010774374008178711
30,232,0.017698287963867188
31,281,0.049338340759277344
32,339,0.028835535049438477
33,409,0.039635658264160156
34,494,0.05875802040100098
35,596,0.0983726978302002
36,719,0.15806317329406738
37,868,0.18064522743225098
38,1048,0.2523045539855957
39,1264,0.3977513313293457
40,1526,0.5858397483825684
41,1842,1.1479053497314453
42,2222,2.023432731628418
43,2682,3.33254075050354
44,3237,6.198450565338135
45,3906,4.566497564315796
46,4714,6.017962455749512
47,5689,8.541769981384277
48,6866,12.901668310165405
49,8286,19.991695404052734
50,10000,45.054466247558594
