s_no,input_size,sort_time(s)
1,1,4.0531158447265625e-06
2,1,4.0531158447265625e-06
3,1,1.6689300537109375e-06
4,1,2.86102294921875e-06
5,2,3.409385681152344e-05
6,2,2.7179718017578125e-05
7,3,5.1021575927734375e-05
8,3,5.1021575927734375e-05
9,4,6.4849853515625e-05
10,5,8.678436279296875e-05
11,6,0.00011420249938964844
12,7,0.00014495849609375
13,9,0.00018715858459472656
14,11,0.0002529621124267578
15,13,0.00030517578125
16,16,0.0003662109375
17,20,0.0005009174346923828
18,24,0.0006358623504638672
19,29,0.0007998943328857422
20,35,0.0009889602661132812
21,42,0.0013589859008789062
22,51,0.0016672611236572266
23,62,0.002087831497192383
24,75,0.0026428699493408203
25,91,0.003322124481201172
26,109,0.004076957702636719
27,132,0.00534367561340332
28,159,0.0068929195404052734
29,193,0.008305072784423828
30,232,0.010207176208496094
31,281,0.012927055358886719
32,339,0.015929222106933594
33,409,0.020245075225830078
34,494,0.02507805824279785
35,596,0.029204845428466797
36,719,0.04189896583557129
37,868,0.046511173248291016
38,1048,0.05002188682556152
39,1264,0.07387495040893555
40,1526,0.09006476402282715
41,1842,0.12100791931152344
42,2222,0.16038799285888672
43,2682,0.27375102043151855
44,3237,0.2897152900695801
45,3906,0.2496352195739746
46,4714,0.3302891254425049
47,5689,0.4795210361480713
48,6866,0.5653989315032959
49,8286,0.5596740245819092
50,10000,0.714810848236084
