s_no,input_size,sort_time(s)
1,1,5.0067901611328125e-06
2,1,3.0994415283203125e-06
3,1,1.9073486328125e-06
4,1,2.1457672119140625e-06
5,1,2.1457672119140625e-06
6,2,4.696846008300781e-05
7,2,3.409385681152344e-05
8,2,3.218650817871094e-05
9,3,5.412101745605469e-05
10,4,5.2928924560546875e-05
11,4,5.507469177246094e-05
12,5,7.796287536621094e-05
13,6,9.226799011230469e-05
14,7,0.00011229515075683594
15,8,0.00013685226440429688
16,10,0.0001780986785888672
17,11,0.00022029876708984375
18,13,0.0002281665802001953
19,16,0.0002999305725097656
20,19,0.0003719329833984375
21,22,0.0004341602325439453
22,25,0.0005028247833251953
23,30,0.000637054443359375
24,35,0.0007488727569580078
25,41,0.0009350776672363281
26,48,0.002034902572631836
27,56,0.0016291141510009766
28,65,0.0019741058349609375
29,76,0.002351045608520508
30,89,0.003615140914916992
31,104,0.004548788070678711
32,122,0.00543522834777832
33,142,0.006737947463989258
34,166,0.006962299346923828
35,194,0.009638786315917969
36,227,0.01230621337890625
37,265,0.015146017074584961
38,310,0.01765608787536621
39,362,0.026037931442260742
40,423,0.038378000259399414
41,494,0.05440092086791992
42,577,0.06489014625549316
43,673,0.09624195098876953
44,786,0.1229548454284668
45,918,0.1706230640411377
46,1073,0.2228989601135254
47,1253,0.29949212074279785
48,1463,0.4097881317138672
49,1708,0.5391201972961426
50,1995,0.741131067276001
