s_no,input_size,sort_time(s)
1,1,8.20159912109375e-05
2,1,0.0001666545867919922
3,1,7.390975952148438e-05
4,1,6.413459777832031e-05
5,2,8.225440979003906e-05
6,2,7.987022399902344e-05
7,3,9.489059448242188e-05
8,3,9.5367431640625e-05
9,4,0.000125885009765625
10,5,0.00012373924255371094
11,6,0.00013780593872070312
12,7,0.0002677440643310547
13,9,0.00018787384033203125
14,11,0.00021982192993164062
15,13,0.00025081634521484375
16,16,0.0002961158752441406
17,20,0.0003628730773925781
18,24,0.00042319297790527344
19,29,0.0006706714630126953
20,35,0.0006077289581298828
21,42,0.0007185935974121094
22,51,0.0009677410125732422
23,62,0.0011565685272216797
24,75,0.0012021064758300781
25,91,0.0015769004821777344
26,109,0.001692056655883789
27,132,0.002495288848876953
28,159,0.002438068389892578
29,193,0.0028676986694335938
30,232,0.0032923221588134766
31,281,0.0041201114654541016
32,339,0.00439763069152832
33,409,0.004992008209228516
34,494,0.0063898563385009766
35,596,0.00691986083984375
36,719,0.009351491928100586
37,868,0.010249137878417969
38,1048,0.012867927551269531
39,1264,0.015021085739135742
40,1526,0.01757669448852539
41,1842,0.021914243698120117
42,2222,0.02789902687072754
43,2682,0.05414867401123047
44,3237,0.06630897521972656
45,3906,0.09620380401611328
46,4714,0.05703330039978027
47,5689,0.06574511528015137
48,6866,0.07922554016113281
49,8286,0.09883499145507812
50,10000,0.1191568374633789
