s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,3.0994415283203125e-06
6,2,4.0531158447265625e-06
7,3,5.4836273193359375e-06
8,3,3.814697265625e-06
9,4,6.9141387939453125e-06
10,5,7.62939453125e-06
11,6,1.3113021850585938e-05
12,7,1.7642974853515625e-05
13,9,1.71661376953125e-05
14,11,3.0040740966796875e-05
15,13,7.224082946777344e-05
16,16,0.00021696090698242188
17,20,0.00012636184692382812
18,24,0.00020074844360351562
19,29,0.0002703666687011719
20,35,0.0003743171691894531
21,42,0.0006220340728759766
22,51,0.0011615753173828125
23,62,0.0020248889923095703
24,75,0.0019006729125976562
25,91,0.004041194915771484
26,109,0.007082223892211914
27,132,0.008264303207397461
28,159,0.01864004135131836
29,193,0.03078460693359375
30,232,0.0385739803314209
31,281,0.035003662109375
32,339,0.052735090255737305
33,409,0.06808948516845703
34,494,0.09758973121643066
35,596,0.17279553413391113
36,719,0.1665332317352295
37,868,0.31090545654296875
38,1048,0.34505319595336914
39,1264,0.5056557655334473
40,1526,0.7455117702484131
41,1842,1.0735440254211426
42,2222,1.5705933570861816
43,2682,2.3189735412597656
44,3237,4.87386679649353
45,3906,12.936601161956787
46,4714,12.12348985671997
47,5689,17.440876960754395
48,6866,26.575140237808228
49,8286,54.70507621765137
50,10000,39.810479402542114
