s_no,input_size,sort_time(s)
1,1,7.867813110351562e-06
2,1,1.1920928955078125e-06
3,1,9.5367431640625e-07
4,2,1.71661376953125e-05
5,2,1.6927719116210938e-05
6,3,3.2901763916015625e-05
7,4,3.886222839355469e-05
8,5,3.910064697265625e-05
9,6,6.890296936035156e-05
10,8,9.417533874511719e-05
11,10,0.00010085105895996094
12,13,0.0001480579376220703
13,16,0.00019812583923339844
14,21,0.0002789497375488281
15,26,0.00034809112548828125
16,33,0.00047779083251953125
17,42,0.0006990432739257812
18,54,0.0008499622344970703
19,68,0.0011348724365234375
20,86,0.0015571117401123047
21,109,0.0018808841705322266
22,138,0.002609729766845703
23,175,0.0040171146392822266
24,222,0.00443267822265625
25,281,0.006220102310180664
26,355,0.007249116897583008
27,449,0.008548974990844727
28,568,0.01079702377319336
29,719,0.014098167419433594
30,910,0.01848578453063965
31,1151,0.022863149642944336
32,1456,0.029571056365966797
33,1842,0.03866291046142578
34,2329,0.05030679702758789
35,2947,0.07471108436584473
36,3727,0.08602094650268555
37,4714,0.1096489429473877
38,5963,0.146820068359375
39,7543,0.18506813049316406
40,9540,0.24364900588989258
41,12067,0.31291794776916504
42,15264,0.4048120975494385
43,19306,0.5188441276550293
44,24420,0.711493730545044
45,30888,1.1086890697479248
46,39069,1.330766201019287
47,49417,1.5801787376403809
48,62505,2.066044807434082
49,79060,2.7518208026885986
50,100000,3.864710807800293
