s_no,input_size,sort_time(s)
1,1,3.814697265625e-06
2,1,2.86102294921875e-06
3,1,1.9073486328125e-06
4,2,6.079673767089844e-05
5,2,3.910064697265625e-05
6,3,3.814697265625e-05
7,4,0.00010204315185546875
8,5,9.799003601074219e-05
9,6,0.00012969970703125
10,8,0.00017690658569335938
11,10,0.00023984909057617188
12,13,0.00037097930908203125
13,16,0.0004291534423828125
14,21,0.0010178089141845703
15,26,0.0006537437438964844
16,33,0.0008440017700195312
17,42,0.0013129711151123047
18,54,0.001558065414428711
19,68,0.002125263214111328
20,86,0.005312204360961914
21,109,0.0033311843872070312
22,138,0.005407810211181641
23,175,0.005950927734375
24,222,0.008926868438720703
25,281,0.010132074356079102
26,355,0.013106107711791992
27,449,0.01782703399658203
28,568,0.023446083068847656
29,719,0.029180288314819336
30,910,0.03376412391662598
31,1151,0.05530190467834473
32,1456,0.06578302383422852
33,1842,0.08133411407470703
34,2329,0.10268092155456543
35,2947,0.14139485359191895
36,3727,0.18903660774230957
37,4714,0.23305535316467285
38,5963,0.374467134475708
39,7543,0.44227123260498047
40,9540,0.6128370761871338
41,12067,0.812079906463623
42,15264,1.390805959701538
43,19306,1.50272798538208
44,24420,1.6372349262237549
45,30888,3.3023407459259033
46,39069,3.139897108078003
47,49417,4.255604982376099
48,62505,5.815069913864136
49,79060,6.860518932342529
50,100000,9.574249029159546
