s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,0
6,2,0
7,3,5.245208740234375e-06
8,3,4.291534423828125e-06
9,4,6.67572021484375e-06
10,5,7.62939453125e-06
11,6,6.604194641113281e-05
12,7,1.2636184692382812e-05
13,9,3.24249267578125e-05
14,11,5.173683166503906e-05
15,13,0.0001742839813232422
16,16,0.00012230873107910156
17,20,0.00021886825561523438
18,24,0.0003199577331542969
19,29,0.00048422813415527344
20,35,0.0006556510925292969
21,42,0.0009617805480957031
22,51,0.001397848129272461
23,62,0.002107381820678711
24,75,0.0031511783599853516
25,91,0.004994392395019531
26,109,0.0061893463134765625
27,132,0.00898599624633789
28,159,0.016719579696655273
29,193,0.018039703369140625
30,232,0.027605772018432617
31,281,0.04360342025756836
32,339,0.06256866455078125
33,409,0.09078240394592285
34,494,0.16544294357299805
35,596,0.20785784721374512
36,719,0.33060503005981445
37,868,0.4838848114013672
38,1048,0.5772151947021484
39,1264,0.8406898975372314
40,1526,1.2651216983795166
41,1842,2.3538289070129395
42,2222,3.641228675842285
43,2682,5.118593454360962
44,3237,8.280585050582886
45,3906,12.488545894622803
46,4714,29.80081343650818
47,5689,26.727985382080078
48,6866,49.70215582847595
49,8286,60.046350955963135
50,10000,70.8328742980957
