s_no,input_size,sort_time(s)
1,1,5.3882598876953125e-05
2,1,3.218650817871094e-05
3,1,2.7894973754882812e-05
4,1,2.7179718017578125e-05
5,2,4.696846008300781e-05
6,2,4.38690185546875e-05
7,3,5.888938903808594e-05
8,3,5.7220458984375e-05
9,4,8.416175842285156e-05
10,5,0.00010085105895996094
11,6,0.0001201629638671875
12,7,0.00014972686767578125
13,9,0.00033211708068847656
14,11,0.00023698806762695312
15,13,0.0002760887145996094
16,16,0.0003561973571777344
17,20,0.0004630088806152344
18,24,0.0007350444793701172
19,29,0.0009417533874511719
20,35,0.0010488033294677734
21,42,0.0013239383697509766
22,51,0.0015909671783447266
23,62,0.0018527507781982422
24,75,0.002290964126586914
25,91,0.002686023712158203
26,109,0.0031647682189941406
27,132,0.0040662288665771484
28,159,0.004729270935058594
29,193,0.0059511661529541016
30,232,0.006459951400756836
31,281,0.007811069488525391
32,339,0.010207176208496094
33,409,0.011267662048339844
34,494,0.01623392105102539
35,596,0.022012948989868164
36,719,0.026833772659301758
37,868,0.03199911117553711
38,1048,0.03951406478881836
39,1264,0.04818367958068848
40,1526,0.05894327163696289
41,1842,0.07245302200317383
42,2222,0.09594321250915527
43,2682,0.12672996520996094
44,3237,0.15178704261779785
45,3906,0.18588018417358398
46,4714,0.2397751808166504
47,5689,0.270129919052124
48,6866,0.3324298858642578
49,8286,0.4203379154205322
50,10000,0.5173938274383545
