s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,7.152557373046875e-07
6,2,0.0
7,3,4.76837158203125e-06
8,3,4.291534423828125e-06
9,4,9.298324584960938e-06
10,5,3.0994415283203125e-06
11,6,5.9604644775390625e-06
12,7,7.62939453125e-06
13,9,1.5735626220703125e-05
14,11,1.8596649169921875e-05
15,13,3.170967102050781e-05
16,16,5.7220458984375e-05
17,20,9.202957153320312e-05
18,24,0.00014901161193847656
19,29,0.00023293495178222656
20,35,0.0002956390380859375
21,42,0.00047469139099121094
22,51,0.0006182193756103516
23,62,0.0008831024169921875
24,75,0.0016667842864990234
25,91,0.0018749237060546875
26,109,0.0023581981658935547
27,132,0.003472566604614258
28,159,0.00455164909362793
29,193,0.006528139114379883
30,232,0.00876927375793457
31,281,0.01392984390258789
32,339,0.020106792449951172
33,409,0.03037858009338379
34,494,0.04671812057495117
35,596,0.07950067520141602
36,719,0.10088229179382324
37,868,0.18340325355529785
38,1048,0.20688867568969727
39,1264,0.3411219120025635
40,1526,0.45133352279663086
41,1842,0.9469842910766602
42,2222,1.248058795928955
43,2682,1.3747475147247314
44,3237,1.9619061946868896
45,3906,2.979222536087036
46,4714,4.5809645652771
47,5689,6.508739709854126
48,6866,10.326176881790161
49,8286,14.357616424560547
50,10000,21.409743547439575
