s_no,input_size,sort_time(s)
1,1,3.0994415283203125e-06
2,1,2.1457672119140625e-06
3,1,1.1920928955078125e-06
4,1,1.1920928955078125e-06
5,2,1.71661376953125e-05
6,2,1.1920928955078125e-05
7,3,2.2649765014648438e-05
8,3,2.09808349609375e-05
9,4,3.123283386230469e-05
10,5,3.981590270996094e-05
11,6,5.1975250244140625e-05
12,7,6.175041198730469e-05
13,9,9.226799011230469e-05
14,11,0.00011277198791503906
15,13,0.0001380443572998047
16,16,0.0001862049102783203
17,20,0.00039196014404296875
18,24,0.00047898292541503906
19,29,0.00040078163146972656
20,35,0.0005230903625488281
21,42,0.0006368160247802734
22,51,0.000820159912109375
23,62,0.0011320114135742188
24,75,0.0013391971588134766
25,91,0.0016758441925048828
26,109,0.002053976058959961
27,132,0.0026831626892089844
28,159,0.0036530494689941406
29,193,0.004295825958251953
30,232,0.005252838134765625
31,281,0.006527900695800781
32,339,0.008651018142700195
33,409,0.01115107536315918
34,494,0.01334691047668457
35,596,0.017222166061401367
36,719,0.02116680145263672
37,868,0.025413036346435547
38,1048,0.033316850662231445
39,1264,0.03969383239746094
40,1526,0.05059504508972168
41,1842,0.058190107345581055
42,2222,0.07590818405151367
43,2682,0.08874297142028809
44,3237,0.13486909866333008
45,3906,0.14683079719543457
46,4714,0.1723320484161377
47,5689,0.20946192741394043
48,6866,0.2657909393310547
49,8286,0.3196101188659668
50,10000,0.3915410041809082
