s_no,input_size,sort_time(s)
1,1,3.0994415283203125e-06
2,1,2.1457672119140625e-06
3,1,2.1457672119140625e-06
4,1,1.9073486328125e-06
5,2,3.886222839355469e-05
6,2,3.0994415283203125e-05
7,3,2.7894973754882812e-05
8,3,2.5987625122070312e-05
9,4,4.8160552978515625e-05
10,5,6.103515625e-05
11,6,0.00010895729064941406
12,7,8.106231689453125e-05
13,9,9.799003601074219e-05
14,11,0.0001621246337890625
15,13,0.00017380714416503906
16,16,0.00022292137145996094
17,20,0.0002498626708984375
18,24,0.00034689903259277344
19,29,0.00038814544677734375
20,35,0.0005018711090087891
21,42,0.0007040500640869141
22,51,0.000713348388671875
23,62,0.0009608268737792969
24,75,0.0011830329895019531
25,91,0.0014178752899169922
26,109,0.0016660690307617188
27,132,0.0021741390228271484
28,159,0.0034072399139404297
29,193,0.004734992980957031
30,232,0.006057024002075195
31,281,0.004791975021362305
32,339,0.006225109100341797
33,409,0.006598949432373047
34,494,0.0077610015869140625
35,596,0.008732080459594727
36,719,0.010575056076049805
37,868,0.012378215789794922
38,1048,0.016012191772460938
39,1264,0.020061254501342773
40,1526,0.02735114097595215
41,1842,0.03399515151977539
42,2222,0.04166293144226074
43,2682,0.0575251579284668
44,3237,0.06346988677978516
45,3906,0.07261061668395996
46,4714,0.09702301025390625
47,5689,0.11799311637878418
48,6866,0.13599205017089844
49,8286,0.18152809143066406
50,10000,0.2210841178894043
