s_no,input_size,sort_time(s)
1,1,0.00024008750915527344
2,1,0.00018739700317382812
3,1,0.00018596649169921875
4,1,0.0001819133758544922
5,2,0.00024271011352539062
6,2,0.00024509429931640625
7,3,0.00030994415283203125
8,3,0.0002841949462890625
9,4,0.00034117698669433594
10,5,0.0005152225494384766
11,6,0.00045299530029296875
12,7,0.0005068778991699219
13,9,0.0006189346313476562
14,11,0.0007216930389404297
15,13,0.0008323192596435547
16,16,0.0011730194091796875
17,20,0.001379251480102539
18,24,0.0014178752899169922
19,29,0.0017495155334472656
20,35,0.0019741058349609375
21,42,0.0023453235626220703
22,51,0.002846240997314453
23,62,0.0030438899993896484
24,75,0.00432276725769043
25,91,0.004572153091430664
26,109,0.005125761032104492
27,132,0.005949258804321289
28,159,0.006809234619140625
29,193,0.007525205612182617
30,232,0.00998234748840332
31,281,0.011367082595825195
32,339,0.01409459114074707
33,409,0.017026424407958984
34,494,0.020061492919921875
35,596,0.02469778060913086
36,719,0.03431105613708496
37,868,0.041489601135253906
38,1048,0.04556608200073242
39,1264,0.05270099639892578
40,1526,0.06653690338134766
41,1842,0.07729935646057129
42,2222,0.09609580039978027
43,2682,0.11886286735534668
44,3237,0.1388559341430664
45,3906,0.17685174942016602
46,4714,0.2111670970916748
47,5689,0.2532668113708496
48,6866,0.3313100337982178
49,8286,0.38756275177001953
50,10000,0.45404529571533203
