s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,0
6,2,0
7,3,6.9141387939453125e-06
8,3,5.245208740234375e-06
9,4,9.5367431640625e-06
10,5,1.1205673217773438e-05
11,6,1.6689300537109375e-05
12,7,2.1219253540039062e-05
13,9,3.266334533691406e-05
14,11,5.412101745605469e-05
15,13,7.462501525878906e-05
16,16,0.00014257431030273438
17,20,0.0001614093780517578
18,24,0.00026416778564453125
19,29,0.0003120899200439453
20,35,0.0004928112030029297
21,42,0.00067138671875
22,51,0.0009622573852539062
23,62,0.0016999244689941406
24,75,0.002077341079711914
25,91,0.002736806869506836
26,109,0.003657102584838867
27,132,0.005057096481323242
28,159,0.0067174434661865234
29,193,0.009487390518188477
30,232,0.013224124908447266
31,281,0.020035505294799805
32,339,0.028136014938354492
33,409,0.041519880294799805
34,494,0.05990338325500488
35,596,0.08799242973327637
36,719,0.13138103485107422
37,868,0.18725037574768066
38,1048,0.276902437210083
39,1264,0.40108656883239746
40,1526,0.590233564376831
41,1842,1.037574052810669
42,2222,1.3730084896087646
43,2682,2.0932750701904297
44,3237,3.189436435699463
45,3906,4.8018035888671875
46,4714,7.295662879943848
47,5689,11.26608920097351
48,6866,17.316999197006226
49,8286,26.119128227233887
50,10000,44.91055655479431
