s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,1.0967254638671875e-05
6,2,3.0994415283203125e-06
7,3,7.152557373046875e-06
8,3,5.245208740234375e-06
9,4,1.239776611328125e-05
10,5,1.9788742065429688e-05
11,6,2.7179718017578125e-05
12,7,3.838539123535156e-05
13,9,6.651878356933594e-05
14,11,9.1552734375e-05
15,13,0.00013113021850585938
16,16,0.00024437904357910156
17,20,0.0003325939178466797
18,24,0.00047969818115234375
19,29,0.0007054805755615234
20,35,0.0009598731994628906
21,42,0.0015265941619873047
22,51,0.002129077911376953
23,62,0.0028488636016845703
24,75,0.00397181510925293
25,91,0.005623340606689453
26,109,0.00805354118347168
27,132,0.010759592056274414
28,159,0.01327061653137207
29,193,0.01880025863647461
30,232,0.02622079849243164
31,281,0.03941655158996582
32,339,0.05681800842285156
33,409,0.09059929847717285
34,494,0.1379399299621582
35,596,0.19734787940979004
36,719,0.28968310356140137
37,868,0.47048401832580566
38,1048,0.6408157348632812
39,1264,0.903160810470581
40,1526,1.408768653869629
41,1842,2.2168331146240234
42,2222,3.174726963043213
43,2682,5.600738763809204
44,3237,8.504016876220703
45,3906,9.695303201675415
46,4714,14.263715267181396
47,5689,19.63762903213501
48,6866,28.340519428253174
49,8286,48.797266721725464
50,10000,115.17456984519958
