s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,4.291534423828125e-06
6,2,2.86102294921875e-06
7,3,9.298324584960938e-06
8,3,7.62939453125e-06
9,4,2.8133392333984375e-05
10,5,2.384185791015625e-05
11,6,3.0279159545898438e-05
12,7,5.173683166503906e-05
13,9,7.343292236328125e-05
14,11,0.0001125335693359375
15,13,0.00014591217041015625
16,16,0.0002238750457763672
17,20,0.0003654956817626953
18,24,0.0005090236663818359
19,29,0.0007448196411132812
20,35,0.001115560531616211
21,42,0.0010442733764648438
22,51,0.0011441707611083984
23,62,0.0017633438110351562
24,75,0.002558469772338867
25,91,0.005210399627685547
26,109,0.0110321044921875
27,132,0.015262126922607422
28,159,0.017380952835083008
29,193,0.0274808406829834
30,232,0.047783613204956055
31,281,0.06408262252807617
32,339,0.1239478588104248
33,409,0.15401721000671387
34,494,0.23020100593566895
35,596,0.3881211280822754
36,719,0.49985647201538086
37,868,0.649226188659668
38,1048,1.1411685943603516
39,1264,1.2565860748291016
40,1526,1.7006173133850098
41,1842,2.4275403022766113
42,2222,3.4975051879882812
43,2682,5.250375747680664
44,3237,7.605363845825195
45,3906,13.988597393035889
46,4714,24.408037424087524
47,5689,18.41051483154297
48,6866,20.565998554229736
49,8286,28.00354552268982
50,10000,40.027660608291626
