s_no,input_size,sort_time(s)
1,1,5.0067901611328125e-06
2,1,1.9073486328125e-06
3,1,2.1457672119140625e-06
4,1,1.9073486328125e-06
5,2,2.6702880859375e-05
6,2,1.71661376953125e-05
7,3,2.8133392333984375e-05
8,3,4.601478576660156e-05
9,4,4.076957702636719e-05
10,5,5.2928924560546875e-05
11,6,6.461143493652344e-05
12,7,8.296966552734375e-05
13,9,0.00010895729064941406
14,11,0.00014090538024902344
15,13,0.00018095970153808594
16,16,0.00021409988403320312
17,20,0.0002770423889160156
18,24,0.0003871917724609375
19,29,0.00046062469482421875
20,35,0.0005619525909423828
21,42,0.0006971359252929688
22,51,0.0008339881896972656
23,62,0.0011749267578125
24,75,0.001605987548828125
25,91,0.0016927719116210938
26,109,0.0023779869079589844
27,132,0.0031218528747558594
28,159,0.003330230712890625
29,193,0.006257057189941406
30,232,0.0052721500396728516
31,281,0.006055355072021484
32,339,0.007198810577392578
33,409,0.012392044067382812
34,494,0.015783071517944336
35,596,0.014503002166748047
36,719,0.01677680015563965
37,868,0.018970012664794922
38,1048,0.023387908935546875
39,1264,0.02909374237060547
40,1526,0.03130984306335449
41,1842,0.036862850189208984
42,2222,0.049214839935302734
43,2682,0.05945611000061035
44,3237,0.06854820251464844
45,3906,0.08034324645996094
46,4714,0.09763312339782715
47,5689,0.12192678451538086
48,6866,0.14724493026733398
49,8286,0.18098926544189453
50,10000,0.22297191619873047
