s_no,input_size,sort_time(s)
1,1,4.0531158447265625e-06
2,1,3.0994415283203125e-06
3,1,9.5367431640625e-07
4,1,1.9073486328125e-06
5,2,4.8160552978515625e-05
6,2,3.0040740966796875e-05
7,3,4.6253204345703125e-05
8,3,4.38690185546875e-05
9,4,4.363059997558594e-05
10,5,6.389617919921875e-05
11,6,0.0001442432403564453
12,7,0.000102996826171875
13,9,0.00013017654418945312
14,11,0.00013303756713867188
15,13,0.00019884109497070312
16,16,0.00047516822814941406
17,20,0.0004241466522216797
18,24,0.0003840923309326172
19,29,0.0005068778991699219
20,35,0.0006279945373535156
21,42,0.0006928443908691406
22,51,0.0009059906005859375
23,62,0.001195669174194336
24,75,0.0015189647674560547
25,91,0.0016660690307617188
26,109,0.0021822452545166016
27,132,0.0028579235076904297
28,159,0.003371000289916992
29,193,0.003796100616455078
30,232,0.005116701126098633
31,281,0.005816221237182617
32,339,0.006705045700073242
33,409,0.0077381134033203125
34,494,0.00925588607788086
35,596,0.010308980941772461
36,719,0.013055086135864258
37,868,0.014440298080444336
38,1048,0.017904996871948242
39,1264,0.02423882484436035
40,1526,0.0278012752532959
41,1842,0.03698611259460449
42,2222,0.040659189224243164
43,2682,0.05158185958862305
44,3237,0.06947994232177734
45,3906,0.07861995697021484
46,4714,0.0964362621307373
47,5689,0.11393094062805176
48,6866,0.14631915092468262
49,8286,0.1787121295928955
50,10000,0.20926189422607422
