s_no,input_size,sort_time(s)
1,1,5.5789947509765625e-05
2,1,4.291534423828125e-05
3,1,0.00014090538024902344
4,1,4.506111145019531e-05
5,2,5.1021575927734375e-05
6,2,5.0067901611328125e-05
7,3,6.008148193359375e-05
8,3,5.793571472167969e-05
9,4,6.890296936035156e-05
10,5,8.082389831542969e-05
11,6,9.131431579589844e-05
12,7,0.00010180473327636719
13,9,0.0001239776611328125
14,11,0.0002307891845703125
15,13,0.0002620220184326172
16,16,0.0003101825714111328
17,20,0.00037932395935058594
18,24,0.0004458427429199219
19,29,0.0005307197570800781
20,35,0.0006318092346191406
21,42,0.0008208751678466797
22,51,0.0010526180267333984
23,62,0.0012080669403076172
24,75,0.0013229846954345703
25,91,0.001577138900756836
26,109,0.0028464794158935547
27,132,0.0035555362701416016
28,159,0.0037767887115478516
29,193,0.004196882247924805
30,232,0.005692481994628906
31,281,0.00572514533996582
32,339,0.006482124328613281
33,409,0.0076711177825927734
34,494,0.008062601089477539
35,596,0.009222984313964844
36,719,0.011501789093017578
37,868,0.013573646545410156
38,1048,0.022273540496826172
39,1264,0.025953054428100586
40,1526,0.03151702880859375
41,1842,0.037709712982177734
42,2222,0.046305179595947266
43,2682,0.054847002029418945
44,3237,0.06718754768371582
45,3906,0.08118104934692383
46,4714,0.09969091415405273
47,5689,0.11807584762573242
48,6866,0.1417698860168457
49,8286,0.17108368873596191
50,10000,0.2637052536010742
