s_no,input_size,sort_time(s)
1,1,0
2,1,0
3,1,0
4,1,0
5,2,4.291534423828125e-06
6,2,2.1457672119140625e-06
7,3,4.0531158447265625e-06
8,3,3.0994415283203125e-06
9,4,6.9141387939453125e-06
10,5,6.198883056640625e-06
11,6,3.1948089599609375e-05
12,7,1.2636184692382812e-05
13,9,1.9073486328125e-05
14,11,3.3855438232421875e-05
15,13,5.698204040527344e-05
16,16,5.7220458984375e-05
17,20,6.461143493652344e-05
18,24,0.00016999244689941406
19,29,0.0002071857452392578
20,35,0.00031375885009765625
21,42,0.0004680156707763672
22,51,0.00070953369140625
23,62,0.0009784698486328125
24,75,0.0014748573303222656
25,91,0.0021774768829345703
26,109,0.003308534622192383
27,132,0.00486445426940918
28,159,0.007069826126098633
29,193,0.010981321334838867
30,232,0.015021324157714844
31,281,0.022136688232421875
32,339,0.033522844314575195
33,409,0.04691028594970703
34,494,0.06779336929321289
35,596,0.09823274612426758
36,719,0.14462637901306152
37,868,0.2087998390197754
38,1048,0.30420804023742676
39,1264,0.43844032287597656
40,1526,0.7445464134216309
41,1842,1.1175470352172852
42,2222,1.6091256141662598
43,2682,2.868316411972046
44,3237,3.231363534927368
45,3906,5.06504225730896
46,4714,6.900293588638306
47,5689,9.895662784576416
48,6866,15.383771181106567
49,8286,28.54277515411377
50,10000,49.384942293167114
